ts,container,mem_mb,mem_pct,cpu_pct
1776550165,mft-ai-engine,644.3,71.91,0.42
1776550165,mft-sftp-service,707.8,78.99,24.82
1776550165,mft-license-service,619.9,69.19,0.39
1776550165,mft-ftp-service,659.5,73.60,1.20
1776550165,mft-screening-service,677.4,75.60,0.83
1776550165,mft-forwarder-service,661.5,73.83,0.53
1776550165,mft-as2-service,646.7,2.69,0.53
1776550165,mft-onboarding-api,673.1,75.12,6.92
1776550165,mft-storage-manager,562.3,62.75,24.65
1776550165,mft-keystore-manager,701.1,78.25,0.46
1776550165,mft-ftp-web-service,643.2,71.79,5.88
1776550165,mft-analytics-service,690.2,77.03,0.76
1776550165,mft-config-service,638.5,71.26,0.35
1776550165,mft-gateway-service,622.2,69.44,7.73
1776550165,mft-grafana,59.8,0.25,0.05
1776550165,mft-encryption-service,661.4,73.81,0.49
1776550165,mft-promtail,56.9,0.24,1.31
1776550165,mft-postgres,255.4,1.06,8.42
1776550165,mft-rabbitmq,161.3,0.67,2.77
1776550165,mft-redis,10.7,0.04,0.40
1776550165,mft-prometheus,75.9,0.32,0.38
1776550165,mft-spire-server,33.4,0.14,0.00
1776550165,mft-loki,175.1,0.73,1.75
1776550165,mft-alertmanager,20.7,0.09,0.06
1776550165,mft-vault,130.5,0.54,0.32
1776550165,mft-redpanda,182.5,0.76,0.16
1776550227,mft-api-gateway,14.8,0.06,0.89
1776550227,mft-edi-converter,212.0,23.66,0.21
1776550227,mft-ui-service,9.2,0.04,0.03
1776550227,mft-dmz-proxy-internal,250.2,1.04,0.14
1776550227,mft-ftp-web-ui,8.4,0.04,0.00
1776550227,mft-partner-portal,9.0,0.04,0.00
1776550227,mft-spire-agent,34.9,0.15,0.58
1776550227,mft-notification-service,498.0,55.59,0.34
1776550227,mft-platform-sentinel,674.7,75.30,0.81
1776550227,mft-ai-engine,654.9,73.09,0.36
1776550227,mft-sftp-service,710.2,79.27,0.65
1776550227,mft-license-service,620.0,69.19,0.61
1776550227,mft-ftp-service,659.8,73.63,9.88
1776550227,mft-screening-service,677.4,75.60,1.86
1776550227,mft-forwarder-service,661.7,73.85,0.49
1776550227,mft-as2-service,646.9,2.70,0.69
1776550227,mft-onboarding-api,673.8,75.20,11.60
1776550227,mft-storage-manager,563.5,62.89,0.60
1776550227,mft-keystore-manager,701.2,78.26,0.68
1776550227,mft-ftp-web-service,645.3,72.02,0.98
